# Code book, raw-data file experiment ALEXIS 108: Extra experiment on detection.
# Detection of lag click: standard (s) = diotic single click, variable (v) = dichotic
# click pair (with fixed ild of -10 dB randomly pointing left or right). Peak of 
# standard fixed, peak of variable was varied. 
# Method: 2AFC with reminder. Possible 3-interval trials of equal probability: 
# <s, s, v-left>, <s, v-left, s>, <s, s, v-right>, <s, v-right, s>.
# Two response alternatives: "second", "third".
#
# Columns in raw data file 
# id: unique number for the listener = 1007
# date: date of testing
# time: test time for each trial
# day: rank order of date the experiment was conducted
# session: session number, there were 12 sessions, run on the same day
# trial: trial number within session, from 1 to whenever the staircase stopped
# tau: inter-click interval in ms
# ild: inter-aural-level difference of variable, always 10 dB
# ratio: dB-difference between lead and lag click of variable
# revno: reversal number, equals 0 of the trial was not a reversal
# speak: peak dB (re 0 dB) of standard (diotic single click)
# vpeak: peak dB (re 0 dB) of lag-click (dichotic click-pair)
# correct: Position of variable, in third interval (0) or second interval (1)
# answer: The answer given by the listener, "third" (0) or "second" (1). The answer 
#         was correct of answer == correct
#
id, date, time, day, session, trial, tau, ild, ratio, revno, speak, vpeak, correct, answer
1007, 2017-07-31, 14:43:39, 1,  1, 40, 5.00, 10.0, -36.000000, 0,    -18.872527,   -18.872527,   1,    0
1007, 2017-07-31, 14:43:42, 1,  1, 41, 5.00, 10.0, -35.000000, 0,    -18.872527,   -18.872527,   1,    0
1007, 2017-07-31, 14:43:45, 1,  1, 42, 5.00, 10.0, -34.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:43:48, 1,  1, 43, 5.00, 10.0, -34.000000, 10,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:43:50, 1,  1, 44, 5.00, 10.0, -35.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:43:53, 1,  1, 45, 5.00, 10.0, -35.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:43:56, 1,  1, 46, 5.00, 10.0, -36.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:43:59, 1,  1, 47, 5.00, 10.0, -36.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:44:01, 1,  1, 48, 5.00, 10.0, -37.000000, 11,    -18.872527,   -18.872527,   0,    1
1007, 2017-07-31, 14:44:04, 1,  1, 49, 5.00, 10.0, -36.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:44:07, 1,  1, 50, 5.00, 10.0, -36.000000, 12,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:44:10, 1,  1, 51, 5.00, 10.0, -37.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:44:12, 1,  1, 52, 5.00, 10.0, -37.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:44:15, 1,  1, 53, 5.00, 10.0, -38.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:44:18, 1,  1, 54, 5.00, 10.0, -38.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:44:21, 1,  1, 55, 5.00, 10.0, -39.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:44:24, 1,  1, 56, 5.00, 10.0, -39.000000, 13,    -18.872527,   -18.872527,   1,    0
1007, 2017-07-31, 14:44:27, 1,  1, 57, 5.00, 10.0, -38.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:44:29, 1,  1, 58, 5.00, 10.0, -38.000000, 0,    -18.872527,   -18.872527,   1,    0
1007, 2017-07-31, 14:44:32, 1,  1, 59, 5.00, 10.0, -37.000000, 0,    -18.872527,   -18.872527,   1,    0
1007, 2017-07-31, 14:44:35, 1,  1, 60, 5.00, 10.0, -36.000000, 0,    -18.872527,   -18.872527,   1,    0
1007, 2017-07-31, 14:45:00, 1,  2, 1, 0.00, 10.0, 10.000000, 0,    -18.872527,   -12.851927,   0,    0
1007, 2017-07-31, 14:45:02, 1,  2, 2, 0.00, 10.0, 5.000000, 0,    -18.872527,   -14.997009,   0,    0
1007, 2017-07-31, 14:45:05, 1,  2, 3, 0.00, 10.0, 0.000000, 0,    -18.872527,   -12.851927,   0,    0
1007, 2017-07-31, 14:45:08, 1,  2, 4, 0.00, 10.0, -5.000000, 0,    -18.872527,   -17.450890,   0,    0
1007, 2017-07-31, 14:45:10, 1,  2, 5, 0.00, 10.0, -10.000000, 0,    -18.872527,   -16.485906,   0,    0
1007, 2017-07-31, 14:45:13, 1,  2, 6, 0.00, 10.0, -15.000000, 0,    -18.872527,   -18.397323,   0,    0
1007, 2017-07-31, 14:45:16, 1,  2, 7, 0.00, 10.0, -20.000000, 0,    -18.872527,   -18.044674,   0,    0
1007, 2017-07-31, 14:45:18, 1,  2, 8, 0.00, 10.0, -25.000000, 0,    -18.872527,   -18.397323,   0,    0
1007, 2017-07-31, 14:45:21, 1,  2, 9, 0.00, 10.0, -30.000000, 1,    -18.872527,   -18.602109,   0,    1
1007, 2017-07-31, 14:45:24, 1,  2, 10, 0.00, 10.0, -25.000000, 0,    -18.872527,   -18.719425,   1,    0
1007, 2017-07-31, 14:45:26, 1,  2, 11, 0.00, 10.0, -20.000000, 0,    -18.872527,   -18.044674,   0,    0
1007, 2017-07-31, 14:45:29, 1,  2, 12, 0.00, 10.0, -20.000000, 0,    -18.872527,   -18.044674,   0,    1
1007, 2017-07-31, 14:45:32, 1,  2, 13, 0.00, 10.0, -15.000000, 0,    -18.872527,   -18.397323,   0,    0
1007, 2017-07-31, 14:45:35, 1,  2, 14, 0.00, 10.0, -15.000000, 2,    -18.872527,   -18.397323,   0,    0
1007, 2017-07-31, 14:45:38, 1,  2, 15, 0.00, 10.0, -20.000000, 3,    -18.872527,   -18.044674,   1,    0
1007, 2017-07-31, 14:45:41, 1,  2, 16, 0.00, 10.0, -15.000000, 0,    -18.872527,   -17.450890,   1,    1
1007, 2017-07-31, 14:45:44, 1,  2, 17, 0.00, 10.0, -15.000000, 0,    -18.872527,   -18.397323,   1,    0
1007, 2017-07-31, 14:45:46, 1,  2, 18, 0.00, 10.0, -10.000000, 0,    -18.872527,   -16.485906,   1,    1
1007, 2017-07-31, 14:45:49, 1,  2, 19, 0.00, 10.0, -10.000000, 4,    -18.872527,   -16.485906,   0,    0
1007, 2017-07-31, 14:45:52, 1,  2, 20, 0.00, 10.0, -13.000000, 0,    -18.872527,   -18.278404,   0,    0
1007, 2017-07-31, 14:45:54, 1,  2, 21, 0.00, 10.0, -13.000000, 0,    -18.872527,   -17.117806,   1,    1
1007, 2017-07-31, 14:45:57, 1,  2, 22, 0.00, 10.0, -16.000000, 0,    -18.872527,   -18.447759,   1,    1
1007, 2017-07-31, 14:46:00, 1,  2, 23, 0.00, 10.0, -16.000000, 0,    -18.872527,   -18.447759,   1,    1
1007, 2017-07-31, 14:46:02, 1,  2, 24, 0.00, 10.0, -19.000000, 0,    -18.872527,   -18.569682,   1,    1
1007, 2017-07-31, 14:46:05, 1,  2, 25, 0.00, 10.0, -19.000000, 5,    -18.872527,   -18.569682,   0,    1
1007, 2017-07-31, 14:46:08, 1,  2, 26, 0.00, 10.0, -16.000000, 0,    -18.872527,   -17.594687,   0,    0
1007, 2017-07-31, 14:46:11, 1,  2, 27, 0.00, 10.0, -16.000000, 6,    -18.872527,   -17.594687,   0,    0
1007, 2017-07-31, 14:46:14, 1,  2, 28, 0.00, 10.0, -19.000000, 7,    -18.872527,   -17.948855,   1,    0
1007, 2017-07-31, 14:46:17, 1,  2, 29, 0.00, 10.0, -16.000000, 0,    -18.872527,   -17.594687,   1,    1
1007, 2017-07-31, 14:46:19, 1,  2, 30, 0.00, 10.0, -16.000000, 8,    -18.872527,   -18.447759,   1,    1
1007, 2017-07-31, 14:46:22, 1,  2, 31, 0.00, 10.0, -19.000000, 9,    -18.872527,   -17.948855,   1,    0
1007, 2017-07-31, 14:46:25, 1,  2, 32, 0.00, 10.0, -18.000000, 0,    -18.872527,   -17.842588,   1,    1
1007, 2017-07-31, 14:46:27, 1,  2, 33, 0.00, 10.0, -18.000000, 0,    -18.872527,   -18.533441,   1,    0
1007, 2017-07-31, 14:46:30, 1,  2, 34, 0.00, 10.0, -17.000000, 0,    -18.872527,   -18.492958,   0,    1
1007, 2017-07-31, 14:46:37, 1,  2, 35, 0.00, 10.0, -16.000000, 0,    -18.872527,   -18.447759,   1,    1
1007, 2017-07-31, 14:46:39, 1,  2, 36, 0.00, 10.0, -16.000000, 0,    -18.872527,   -17.594687,   1,    0
1007, 2017-07-31, 14:46:42, 1,  2, 37, 0.00, 10.0, -15.000000, 0,    -18.872527,   -17.450890,   0,    1
1007, 2017-07-31, 14:46:45, 1,  2, 38, 0.00, 10.0, -14.000000, 0,    -18.872527,   -17.292332,   0,    0
1007, 2017-07-31, 14:46:48, 1,  2, 39, 0.00, 10.0, -14.000000, 0,    -18.872527,   -17.292332,   0,    1
1007, 2017-07-31, 14:46:50, 1,  2, 40, 0.00, 10.0, -13.000000, 0,    -18.872527,   -18.278404,   0,    0
1007, 2017-07-31, 14:46:53, 1,  2, 41, 0.00, 10.0, -13.000000, 10,    -18.872527,   -18.278404,   0,    0
1007, 2017-07-31, 14:46:56, 1,  2, 42, 0.00, 10.0, -14.000000, 0,    -18.872527,   -17.292332,   0,    0
1007, 2017-07-31, 14:46:59, 1,  2, 43, 0.00, 10.0, -14.000000, 0,    -18.872527,   -17.292332,   1,    1
1007, 2017-07-31, 14:47:02, 1,  2, 44, 0.00, 10.0, -15.000000, 11,    -18.872527,   -18.397323,   0,    1
1007, 2017-07-31, 14:47:04, 1,  2, 45, 0.00, 10.0, -14.000000, 0,    -18.872527,   -17.292332,   1,    1
1007, 2017-07-31, 14:47:07, 1,  2, 46, 0.00, 10.0, -14.000000, 0,    -18.872527,   -17.292332,   0,    1
1007, 2017-07-31, 14:47:10, 1,  2, 47, 0.00, 10.0, -13.000000, 0,    -18.872527,   -17.117806,   1,    1
